genre,categorical accuracy,abstract_expressionism,baroque,cubism,fauvism,high_renaissance,iconoclasm,impressionism,old_greek_pottery,realism,rococo,romanticism,surrealism
abstract_expressionism,0.005952381,0.005952380952380952,0.01488095238095238,0.4791666666666667,0,0.020833333333333332,0.0744047619047619,0.25297619047619047,0.020833333333333332,0,0.09821428571428571,0.03273809523809524,0
baroque,0.40142858,0,0.390625,0.023958333333333335,0,0.13958333333333334,0.008333333333333333,0.07916666666666666,0.005208333333333333,0,0.21458333333333332,0.13854166666666667,0
cubism,0.47857141,0,0.0391304347826087,0.47391304347826085,0,0.04456521739130435,0.04782608695652174,0.20326086956521738,0.01956521739130435,0,0.12173913043478261,0.05,0
fauvism,0.0,0,0.023746701846965697,0.3720316622691293,0,0.029023746701846966,0.029023746701846966,0.27440633245382584,0.036939313984168866,0,0.16886543535620052,0.06596306068601583,0
high_renaissance,0.54285717,0,0.09729064039408868,0.020935960591133004,0,0.5307881773399015,0.024630541871921183,0.06157635467980296,0.006157635467980296,0,0.14655172413793102,0.11206896551724138,0
iconoclasm,0.6314286,0.0015037593984962407,0.021052631578947368,0.03609022556390978,0,0.07969924812030076,0.6421052631578947,0.12781954887218044,0.007518796992481203,0,0.06917293233082707,0.015037593984962405,0
impressionism,0.43714285,0,0.04175152749490835,0.09775967413441955,0,0.09368635437881874,0.04989816700610998,0.4663951120162933,0.012219959266802444,0,0.159877800407332,0.07841140529531568,0
old_greek_pottery,0.4542857,0,0.02,0.23714285714285716,0,0.008571428571428572,0.002857142857142857,0.13428571428571429,0.4542857142857143,0,0.10857142857142857,0.03428571428571429,0
realism,0.0,0,0.05351170568561873,0.11371237458193979,0,0.14715719063545152,0.03678929765886288,0.20066889632107024,0.010033444816053512,0,0.1806020066889632,0.25752508361204013,0
rococo,0.53,0,0.08293838862559241,0.026066350710900472,0,0.11018957345971564,0.004739336492890996,0.11137440758293839,0.004739336492890996,0,0.5319905213270142,0.12796208530805686,0
romanticism,0.38285714,0,0.10411899313501144,0.030892448512585814,0,0.11899313501144165,0.005720823798627002,0.10183066361556065,0.012585812356979404,0,0.2402745995423341,0.38558352402745993,0
surrealism,0.0,0,0.029166666666666667,0.3958333333333333,0,0.0625,0.041666666666666664,0.20416666666666666,0.025,0,0.14583333333333334,0.09583333333333334,0
